Fluid Name,Metal: Alloy-20,Metal: Aluminum,Metal: Brass,Metal: Bronze,Metal: Cast iron / Nodular iron,Metal: Cast Steel,Metal: Monel,Metal: Stainless steel EN-1.4301 (AISI-304),Metal: Stainless steel EN-1.4401 (AISI-316),Elastic: Buna-nitrile,Elastic: Butyl,Elastic: E.P.D.M.,Elastic: HYPALON ® Polyethylene chlorosulphonated,Elastic: KALREZ ® Perfluoroelastomer,Elastic: Natural rubber,Elastic: Neoprene,Elastic: Silicone,Elastic: TEFLON ® Polytetrafluorethylene,Elastic: VITON ® Fluorelastomer
Lemon juice,A,C,D,B,D,D,A,B,B,D,D,D,D,E,A,D,D,A,D
Liguid gas,A,A,B,A,B,B,B,B,B,A,D,B,D,E,B,B,D,D,A
Linoleic acid,A,A,B,B,B,B,B,A,A,C,C,A,A,E,A,B,C,A,A
Liquefied petroleum gas (LPG),E,B,A,B,D,A,E,A,C,B,E,D,E,A,D,C,E,A,A
Liquid asphalt,A,C,B,A,B,B,A,A,A,A,D,B,D,E,D,B,B,A,A
Lubricant oil,A,A,B,B,A,A,B,A,A,A,D,D,D,E,D,C,C,A,A
Magnesium Hydroxide,A,D,C,B,B,B,A,A,A,D,B,A,A,E,B,B,D,A,D
Magnesium Hydroxide (hot),A,D,D,D,B,B,A,A,A,D,B,A,A,E,B,B,D,A,D
Magnesium Sulphate,B,B,C,A,B,B,B,A,A,C,B,A,A,E,A,B,D,A,D
Magnesium bisulfate,A,B,B,B,B,B,B,A,A,D,A,A,A,E,B,B,D,A,D
Magnesium chloride,B,D,D,B,D,C,B,B,A,B,A,A,A,E,A,A,D,A,D
Maleic acid,B,B,B,B,D,B,A,B,B,C,C,A,A,E,C,B,D,A,A
Malic acid,A,B,B,B,D,D,B,B,B,C,C,A,A,E,B,B,D,A,A
Mercury,A,C,D,D,A,A,B,A,A,D,D,A,D,E,B,B,D,D,A
Mercury chloride,C,D,D,D,D,D,B,D,C,B,A,A,A,E,A,A,D,A,D
Mercury cyanide,A,D,D,D,D,D,B,A,A,D,B,A,A,E,B,B,D,A,A
Methane,B,A,A,A,B,B,B,B,B,D,D,B,D,E,A,B,D,D,A
Methyl acetate,A,A,A,A,B,B,A,A,A,C,B,A,A,E,C,B,D,B,D
Methyl alcohol,B,A,A,A,A,B,A,B,B,D,A,B,C,E,A,D,D,A,D
Methyl formate,C,C,B,A,C,C,B,B,B,B,D,D,D,E,D,A,B,D,A
Methylamine,A,A,D,D,B,B,C,A,A,B,D,D,D,E,D,D,D,D,A
Methylchloride,A,D,A,A,",",B,B,B,A,B,A,A,A,E,A,A,D,A,D
Methylene chloride,A,A,B,A,B,B,B,A,A,B,A,A,A,E,A,A,D,A,D
Metil acetone,A,A,B,A,A,A,A,A,A,B,B,D,D,E,B,D,D,D,A
Milk ,A,A,C,A,D,D,A,A,A,D,D,D,D,E,A,D,D,A,D
Milk emulsion,A,A,A,A,B,B,E,A,A,A,C,D,B,E,D,B,D,A,A
Milking,A,A,B,A,C,C,A,A,A,D,B,D,D,E,A,D,D,A,D
Moist air,A,A,B,A,A,A,A,A,A,D,D,A,A,E,A,A,A,A,A
Monophosphate ammonium,B,B,D,D,D,D,C,B,B,b,C,A,A,E,A,C,D,A,D
Muriatic acid,D,D,D,D,D,D,C,D,D,C,C,A,A,E,C,B,D,A,A
Naphtha,B,A,C,B,B,B,B,B,B,B,C,A,A,E,A,C,D,A,D
Naphthalene,B,B,B,B,B,A,B,B,B,B,C,A,A,E,A,C,D,A,D
Natural gas,B,B,B,A,B,B,A,A,A,A,D,D,D,E,B,D,D,A,A
Nickel Nitrate,B,C,C,B,D,D,B,B,B,C,B,A,A,E,A,B,D,A,D
Nickel chloride,B,D,D,D,D,D,B,B,B,B,A,A,A,E,A,A,D,A,D
Nickel sulfate,B,D,C,D,D,D,B,B,B,C,B,A,A,E,A,B,D,A,D
Nicotinic acid,A,A,A,A,B,B,A,A,A,D,C,A,A,E,C,D,D,A,A
Nitric acid 10%,A,D,D,D,D,D,D,A,A,D,C,A,A,E,D,D,D,A,B
Nitric acid 100%,A,B,D,D,A,A,D,A,A,D,D,D,C,E,D,D,D,A,C
Nitric acid 30%,A,D,D,D,D,D,D,A,A,D,D,A,A,E,D,D,D,A,B
Nitric acid 80%,A,B,D,D,D,D,D,A,A,D,D,A,B,E,D,D,D,A,B
Nitrobenzene,A,C,C,D,B,B,B,B,B,C,D,D,D,E,D,D,D,D,A
Nitrogen,E,A,A,A,A,C,A,A,A,B,E,A,E,E,C,B,B,A,B
Nitrogen sulfide (dry),E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Nitrogen sulfide (wet),E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Nitrous acid 10%,B,D,D,D,D,D,D,B,B,D,D,A,B,E,D,D,D,A,B
Nitrous gases,B,B,D,D,C,B,D,A,A,B,B,A,B,E,D,B,D,B,A
Nitrous oxide,B,C,D,D,C,B,D,B,B,D,B,A,A,E,B,B,D,A,D
Oil,B,B,B,B,C,B,B,B,B,A,D,D,D,E,D,C,C,A,A
Oil and water mixture,A,A,A,A,B,B,A,A,A,A,D,D,D,E,D,B,D,S,A
Oil for transf .,A,A,B,B,B,A,A,A,A,A,D,D,D,E,D,C,C,A,A
Oleic acid,B,B,C,B,C,C,B,B,B,B,B,A,B,E,C,B,D,A,A
Olive oil,A,A,B,B,B,B,A,A,A,A,D,D,D,E,D,D,C,A,A
Ortho-xylene,E,D,E,E,E,D,E,A,A,D,E,D,E,E,D,C,D,A,B
Oxalic acid,B,C,C,B,D,D,B,B,B,B,B,B,A,E,C,B,B,A,C
Oxygen,A,A,A,A,B,B,A,A,A,C,B,A,B,E,B,B,D,A,D
Ozone (dry),A,B,B,B,C,C,A,A,A,D,C,A,A,E,C,C,D,A,D
Ozone (wet),A,A,A,A,A,A,A,A,A,D,C,A,A,E,C,C,D,A,D
Palm oil,A,A,B,B,C,C,A,B,B,A,D,D,D,E,D,C,C,A,A
Palmitic acid,B,B,C,B,C,C,B,B,B,B,C,A,A,E,A,B,C,A,A
Paraffin,A,A,A,A,B,B,A,A,A,A,D,C,C,E,D,B,D,A,A
Paraformaldehyde,B,B,B,B,B,B,B,B,B,A,D,C,C,E,D,B,D,E,A
Pentane,B,A,C,A,B,B,B,A,A,D,D,A,A,E,A,D,D,A,D
Perchlorethylene (dry),A,A,C,C,B,B,B,A,A,D,C,A,C,E,C,C,D,A,D
Phenol,A,A,B,B,D,D,B,B,B,A,D,D,D,E,D,D,D,D,A
Phosphoric acid 10% (cold),B,D,D,D,D,D,B,B,B,D,B,A,A,E,D,B,D,A,A
Phosphoric acid 10% (hot),C,D,D,D,D,D,C,D,D,D,B,A,A,E,D,B,D,A,A
Phosphoric acid 50% (cold),B,D,D,D,D,D,C,B,B,D,D,A,A,E,D,C,D,A,A
Phosphoric acid 50% (hot),C,D,D,D,D,D,C,D,D,D,D,A,A,E,D,C,D,A,A
Phosphoric acid 85% (cold),A,D,D,D,B,B,A,A,A,D,D,A,A,E,D,C,D,A,A
Phosphoric acid 85% (hot),A,D,D,D,C,C,A,A,A,D,B,A,A,E,D,C,D,A,A
Phthalic acid,B,B,B,B,C,C,A,B,B,D,D,A,A,E,C,C,D,A,A
Phthalic anhydride,B,B,B,B,C,C,A,B,B,C,B,A,A,E,A,C,D,A,D
Picric acid,B,C,D,D,D,D,A,B,B,B,C,A,A,E,A,B,C,A,A
Pine oil,A,A,B,B,B,B,A,A,A,A,D,D,D,E,D,C,C,A,A
Potassium Hydroxide 70 % cold,A,D,D,D,B,A,A,A,A,B,D,B,D,E,A,D,A,A,A
Potassium Hydroxide 70 % hot,A,D,D,D,B,A,A,A,A,B,D,A,D,E,B,D,A,A,A
Potassium bisulfate,B,C,D,C,D,D,D,B,B,D,A,A,A,E,B,B,D,A,D
Potassium bromide,A,C,D,C,D,D,B,A,A,B,A,A,A,E,B,A,D,A,D
Potassium carbonate,B,C,B,B,B,B,B,B,B,B,B,A,A,E,A,A,D,A,D
Potassium chlorate,B,C,B,B,B,B,B,B,B,D,B,A,A,E,B,B,D,A,A
Potassium chloride,C,B,D,B,B,C,B,C,C,B,A,A,A,E,A,A,D,A,D
Potassium cyanide,B,D,D,D,B,B,B,B,B,D,B,A,A,E,B,B,D,A,A
Potassium dichromate,B,A,D,D,C,C,B,B,B,B,A,A,A,E,A,A,B,A,D
Potassium dihydrogenphosphate,A,B,B,B,A,A,B,A,A,B,A,A,A,E,A,A,B,A,D
Potassium ferricyanide,B,B,C,D,C,C,B,B,B,D,D,A,A,E,B,B,D,A,D
Potassium ferrocyanide,B,B,B,B,C,C,B,B,B,D,B,A,A,E,B,B,D,A,D
Potassium hydroxide (diluted cold),A,D,D,D,A,A,A,A,A,D,B,A,A,E,B,B,D,A,D
Potassium hydroxide (diluted hot),A,D,D,D,B,B,A,A,A,D,B,A,A,E,B,B,D,A,D
Potassium iodide,B,D,D,D,C,C,B,B,B,B,C,A,A,E,A,C,D,A,D
Potassium nitrate,B,B,B,A,B,B,B,B,B,C,B,A,A,E,A,B,D,A,D
Potassium permanganate,B,B,B,B,B,B,A,B,B,D,C,A,C,E,C,C,D,A,A
Potassium sulfide,A,B,C,B,B,B,B,A,A,C,B,A,A,E,A,B,D,A,D
Potassium sulfite,A,B,C,B,B,B,B,A,A,C,B,A,A,E,A,B,D,A,D
Potassium sulphate,B,A,B,B,C,B,B,B,B,C,B,A,A,E,A,B,D,A,D
Propane,B,A,A,A,B,B,B,B,B,A,D,E,E,E,A,B,D,A,D
Propyl alcohol,A,A,B,A,B,B,A,A,A,D,A,B,C,E,A,D,D,A,D
Propylene,A,A,B,B,B,B,B,B,B,A,D,D,D,E,D,B,D,C,A
Pyrogallic acid,B,B,D,D,B,B,B,B,B,B,C,A,A,E,B,B,C,A,A
Resin and colophony,A,A,C,A,A,D,A,C,A,A,D,E,E,E,D,B,D,A,A
Salicylic acid,A,C,C,C,D,D,A,A,A,B,C,A,A,E,B,D,C,A,B
Salt water,A,C,C,B,C,B,A,A,A,C,E,B,B,E,C,B,C,E,C
Saturated steam,A,A,B,A,A,A,A,A,A,C,C,C,C,B,C,A,C,A,B
Seawater,A,B,D,A,D,D,A,A,A,A,B,A,A,E,A,B,D,A,A
Shellac,A,A,B,A,B,B,A,A,A,A,D,B,D,E,B,B,A,A,A
Silver Nitrate,B,D,D,D,D,D,D,B,B,C,B,A,A,E,A,B,D,A,D
Sludge,A,B,B,B,B,B,A,A,A,D,B,A,A,E,D,B,D,A,D
Soapy solution,A,C,B,A,B,A,A,A,A,C,B,A,A,E,A,B,D,A,D
Sodium Bromide 10%,B,B,C,B,D,C,B,B,B,B,A,A,A,E,B,A,D,A,D
Sodium Chromate,A,D,A,C,B,B,B,A,A,B,B,A,A,E,D,B,B,A,D
Sodium Cyanide,B,D,D,D,B,B,B,B,B,D,B,A,A,E,B,B,D,A,A
Sodium Silicate,B,B,C,B,B,B,B,B,B,C,B,A,A,E,A,B,D,A,D
Sodium acetate,B,B,B,B,C,C,C,B,B,C,B,A,A,E,C,B,D,A,D
Sodium aluminate,B,C,C,B,C,C,B,B,B,D,D,A,D,E,A,B,D,D,A
Sodium bicarbonate,A,B,C,B,C,C,B,B,B,B,B,A,A,E,A,A,B,A,B
Sodium bisulfate,A,D,C,B,D,D,B,A,A,D,A,A,A,E,B,B,D,A,D
Sodium bisulfite,A,D,D,B,D,D,B,A,A,D,A,A,A,E,B,B,D,A,D
Sodium borate,B,B,B,B,C,C,B,B,B,B,B,B,A,E,B,A,D,A,D
Sodium carbonate,B,C,B,B,B,B,B,B,B,B,B,A,A,E,A,A,D,A,D
Sodium chlorate,B,C,B,B,C,C,B,B,B,D,B,A,A,E,B,B,D,A,A
Sodium chloride,B,B,D,B,C,C,A,B,B,B,A,A,A,E,A,A,D,A,D
Sodium fluoride,B,C,D,C,D,D,A,B,B,D,B,A,A,E,D,B,D,A,D
Sodium hydroxide (cold) 20 %,A,D,C,A,A,A,A,A,A,B,D,A,D,E,B,D,A,A,A
Sodium hydroxide (cold) 50 %,A,D,D,A,A,A,A,A,A,B,D,A,D,E,A,D,A,A,A
Sodium hydroxide (cold) 70 %,A,D,C,A,A,A,A,A,A,B,D,B,D,E,A,D,A,A,A
Sodium hydroxide (hot) 20 %,A,D,D,B,B,B,A,A,A,B,D,A,D,E,A,D,A,A,A
Sodium hydroxide (hot) 50 %,A,D,D,B,B,B,A,A,A,B,D,A,D,E,B,D,A,A,A
Sodium hydroxide (hot) 70 %,A,D,D,B,B,B,A,A,A,B,D,A,D,E,B,D,A,A,A
Sodium hypochlorite,C,C,D,D,D,D,B,C,C,D,B,A,A,E,A,B,D,A,D
Sodium metaphosphate,A,A,C,C,B,B,A,A,A,B,B,A,A,E,A,B,D,A,B
Sodium metasilicate (cold),A,B,C,B,C,C,A,A,A,B,B,A,B,E,A,B,A,B,B
Sodium metasilicate (hot),A,B,C,B,D,D,A,A,A,B,B,A,B,E,B,B,A,B,B
Sodium nitrate,B,A,C,B,B,B,B,B,B,C,B,A,A,E,A,B,D,A,D
Sodium perborate,B,B,C,B,B,B,B,B,B,D,C,A,A,E,A,A,D,A,D
Sodium peroxide,B,C,D,D,C,C,B,B,B,D,C,E,E,E,B,C,D,A,A
Sodium phosphate (dibasic),D,D,D,C,C,C,B,B,B,B,D,A,A,E,B,A,D,A,A
Sodium phosphate (tribasic),D,D,D,C,C,C,B,B,B,B,D,A,A,E,B,A,D,A,A
Sodium silicate (hot),B,C,C,C,C,C,B,B,B,C,B,A,B,E,B,B,D,A,D
Sodium sulfate,A,B,B,B,B,B,A,B,A,C,B,A,A,E,A,B,D,A,D
Sodium sulfide,B,C,B,C,A,B,A,B,B,C,B,A,A,E,B,B,D,A,D
Sodium sulfide (hot),B,D,C,D,B,C,B,B,B,C,B,A,A,E,B,B,D,A,D
Sodium thiosulfate,A,B,B,B,B,B,A,A,A,B,D,B,D,E,D,C,D,B,A
Solution 10% ammonia (NH3) in alcohol,B,A,C,B,B,B,B,B,B,D,D,B,D,E,A,C,D,A,D
Solvent,A,A,A,A,B,B,B,A,A,A,D,D,D,E,D,B,D,D,A
Solvent for chlorides,D,D,D,C,C,C,B,B,B,A,D,D,D,E,D,B,D,D,A
Solvent for gums,A,A,A,A,A,A,A,A,A,A,D,D,D,E,D,B,D,D,A
Solvent for oils,A,A,B,A,B,A,A,A,A,A,D,D,D,E,D,B,D,D,A
Soy oil,A,B,B,B,C,C,A,A,A,A,D,D,D,E,D,D,C,A,A
Starch,A,A,C,B,C,C,A,B,B,B,B,A,A,E,A,B,D,A,D
Stearic Acid,A,A,C,A,C,C,A,B,A,D,D,A,A,E,C,C,D,A,D
Stearic acid,B,A,D,C,C,C,B,B,B,A,C,A,B,E,A,B,C,B,A
Styrene,A,A,A,A,B,A,A,A,A,A,D,D,D,E,D,B,D,D,A
Sugar,A,A,B,A,A,A,A,A,A,A,B,B,B,E,B,A,B,A,B
Sulfur,A,A,D,D,C,C,A,B,B,A,A,A,A,E,A,A,A,A,A
Sulfur chloride,C,A,A,A,A,C,D,C,B,B,A,A,A,E,A,D,B,A,B
Sulfur dioxide (dry),A,A,B,A,A,A,A,A,A,D,E,E,E,E,C,D,E,A,A
Sulfur dioxide (wet),A,A,D,B,A,A,A,C,A,D,E,E,E,E,B,A,E,A,A
Sulfuric acid (dry),A,A,D,D,B,B,A,A,A,C,D,A,A,E,C,D,D,A,D
Sulfuric acid 100%,A,D,D,A,B,B,A,A,A,D,D,B,B,E,D,D,D,A,D
Sulfuric acid 20%,C,D,D,C,D,D,B,D,D,D,D,A,A,E,D,D,D,A,D
Sulfuric acid 50%,C,D,D,B,D,D,B,D,D,D,D,A,A,E,D,D,D,A,D
Sulfurous acid,B,C,D,C,D,D,D,B,B,D,D,B,B,E,D,D,D,A,D
Sulfurous acid (dry),A,A,D,C,B,B,A,A,A,C,D,A,A,E,C,D,D,A,D
Synthesis gas,B,B,B,B,B,B,A,B,B,B,D,B,D,E,D,B,D,D,A
Tannic acid,B,C,C,B,C,C,B,B,B,D,B,A,B,E,A,B,D,A,D
Tar ,A,A,B,A,A,A,A,A,A,A,D,D,D,E,B,B,D,A,A
Tartaric acid,B,B,C,A,D,D,B,B,B,A,A,A,B,E,A,B,D,A,D
Tertiary hexane,A,A,A,A,A,A,A,A,A,D,B,A,B,E,A,D,D,B,D
Tetraethyl lead,B,B,B,B,C,C,A,B,B,B,D,D,D,E,D,C,D,A,A
Thermal oil / Heat transfer oil,B,B,B,B,C,B,B,B,B,A,D,D,D,E,D,C,C,A,A
Tin chloride,B,D,C,C,D,D,C,D,D,B,A,A,A,E,A,A,D,A,D
Toluene,A,A,A,A,A,A,A,A,A,B,D,D,D,E,D,C,D,A,A
Tomato juice,A,A,D,C,C,C,A,A,A,D,D,D,D,E,A,D,D,A,D
Trichlorethylene,B,A,C,B,C,B,A,B,B,B,D,D,D,E,D,C,D,A,A
Turpentine,B,B,C,B,B,B,B,B,B,B,D,D,D,E,D,C,D,A,A
Urea,A,B,B,B,C,C,A,B,B,B,B,A,A,E,B,A,D,A,D
Varnishes,A,A,B,A,C,C,A,A,A,A,D,D,D,E,D,B,D,A,A
Vaseline,B,B,B,B,C,C,A,B,B,A,C,D,C,E,D,B,D,A,A
Vinegar ,A,C,D,B,D,D,A,A,A,D,D,D,D,E,A,D,B,A,D
Virgin oil (sweet),A,A,A,B,B,B,A,A,A,B,D,E,E,E,D,D,D,A,A
Wax,A,A,A,A,A,A,A,A,A,A,D,B,B,E,B,B,D,A,A
Wax emulsion,A,A,A,A,B,B,E,A,A,A,C,D,B,E,D,B,D,A,A
Whisky,A,B,B,B,D,D,A,A,A,D,D,D,D,E,A,D,D,A,D
Wine,A,B,B,B,D,D,A,A,A,D,D,D,D,E,A,B,D,A,D
Xylene (dry),A,A,B,A,B,B,A,A,A,B,D,D,D,E,D,D,D,A,A
Xylol,A,A,A,A,A,A,A,A,A,E,E,E,E,E,E,D,E,A,E
Zinc chloride,B,D,D,D,C,D,B,D,D,B,A,A,A,E,A,A,D,A,D
Zinc hydrosulfite,A,D,D,C,B,A,B,A,A,D,B,A,A,E,B,B,D,A,D
Zinc sulphate,B,D,D,B,D,D,B,B,B,C,B,A,A,E,A,B,D,A,D
acetaldehyde,A,B,D,D,C,C,A,A,A,C,B,A,A,E,C,A,D,A,D
acetone,A,A,A,A,A,A,A,A,A,D,D,A,D,E,A,D,D,A,D
acetylene,A,A,D,D,A,A,A,A,A,D,D,C,D,E,A,A,D,A,D
mineral Oil,A,A,C,B,B,B,A,A,A,A,D,D,D,E,D,C,C,A,A
tributyl tostato,A,A,A,A,A,A,A,A,A,B,D,D,D,E,D,C,D,E,A
vegetable oil,A,A,B,B,B,B,B,A,A,A,D,D,D,E,D,C,C,A,A
